symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
NIFTYBEES,INF204KB14I2,2024-04-09,BSE,EQ,B,buy,false,7.000000,250.790000,3236100,1712648720833632581,2024-04-09T15:12:59
NIFTYBEES,INF204KB14I2,2024-04-12,NSE,EQ,EQ,buy,false,10.000000,250.800000,43915074,1200000022760363,2024-04-12T11:12:22
NIFTYBEES,INF204KB14I2,2024-04-12,NSE,EQ,EQ,buy,false,2.000000,249.690000,48398418,1200000051630272,2024-04-12T15:08:54
NIFTYBEES,INF204KB14I2,2024-04-12,NSE,EQ,EQ,buy,false,1.000000,249.660000,48467421,1200000051854401,2024-04-12T15:10:25
NIFTYBEES,INF204KB14I2,2024-04-15,NSE,EQ,EQ,buy,false,10.000000,248.000000,46120090,1200000034195651,2024-04-15T12:16:23
NIFTYBEES,INF204KB14I2,2024-04-16,NSE,EQ,EQ,buy,false,10.000000,245.400000,44636214,1200000028640172,2024-04-16T12:28:06
NIFTYBEES,INF204KB14I2,2024-04-18,BSE,EQ,B,buy,false,6.000000,246.000000,4527100,1713418807094393021,2024-04-18T13:26:57
NIFTYBEES,INF204KB14I2,2024-04-19,NSE,EQ,EQ,buy,false,1.000000,242.400000,42100567,1200000012224475,2024-04-19T09:58:38
HINDUNILVR,INE030A01027,2024-04-19,NSE,EQ,EQ,buy,false,1.000000,2222.000000,24761035,1100000029249177,2024-04-19T11:52:30
TATACONSUM,INE192A01025,2024-04-26,NSE,EQ,EQ,buy,false,1.000000,1099.600000,63831170,1300000019491608,2024-04-26T11:26:36
TATACONSUM,INE192A01025,2024-04-26,NSE,EQ,EQ,buy,false,1.000000,1097.850000,63903693,1300000019859503,2024-04-26T11:30:14
TATACONSUM,INE192A01025,2024-04-26,BSE,EQ,A,buy,false,1.000000,1103.500000,13655900,1714124481099374926,2024-04-26T15:27:26
NIFTYBEES,INF204KB14I2,2024-05-07,BSE,EQ,B,buy,false,10.000000,246.600000,4390200,1715061736191581855,2024-05-07T12:12:04
NIFTYBEES,INF204KB14I2,2024-05-13,NSE,EQ,EQ,buy,false,5.000000,243.200000,43385427,1200000020900711,2024-05-13T11:07:25
NIFTYBEES,INF204KB14I2,2024-05-13,NSE,EQ,EQ,buy,false,5.000000,243.920000,44050455,1200000025435159,2024-05-13T11:42:20
